Reactant SMILES,Metal
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)c(Cl)c1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(F)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)cc1)NC(C)=O,Rh
COC(=O)/C(=C\c1ccc(Cl)c(Cl)c1)NC(C)=O,Rh
CCOC(=O)C1=C(NC(=O)c2ccccc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccccc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccccc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccccc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,Ru
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C=C(\C)c1ccccc1,Ir
C/C=C(\C)c1ccc(OC)cc1,Ir
C/C=C(/C)c1ccc(OC)cc1,Ir
COc1ccc2c(c1)CCC=C2C,Ir
CCOC(=O)/C=C(\C)c1ccccc1,Ir
C/C(=C\c1ccccc1)CO,Ir
CC(=O)OC/C(C)=C/c1ccccc1,Ir
C=C(CC)c1ccccc1,Ir
C=C(CC)c1ccc(OC)cc1,Ir
C=C(c1ccccc1)C(C)(C)C,Ir
C=C(NC(C)=O)C(=O)OC,Rh
C=C(CC(=O)OC)C(=O)OC,Rh
C=C(NC(C)=O)c1ccccc1,Rh
CC(=O)NC(=C(C)C)c1ccccc1,Rh
COC(=O)/C=C(/C)NC(C)=O,Rh
CC(=O)NC1=CCc2ccccc2C1,Rh
COC(=O)/C(=C/c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C/c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C/c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C/c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C/c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C/c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C/c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C/c1ccccc1)NC(C)=O,Rh
COC(=O)/C(=C/c1ccc(C)cc1)NC(C)=O,Rh
COC(=O)/C(=C/c1ccc(OC)cc1)NC(C)=O,Rh
COC(=O)/C(=C/c1ccccc1Cl)NC(C)=O,Rh
COC(=O)/C(=C/c1ccc(Cl)cc1)NC(C)=O,Rh
COC(=O)/C(=C/c1cccc([N+](=O)[O-])c1)NC(C)=O,Rh
COC(=O)/C(=C/c1ccc([N+](=O)[O-])cc1)NC(C)=O,Rh
C/C=C(\NC(C)=O)C(=O)OC,Rh
C=C(NC(C)=O)C(=O)OC,Rh
C=C(CC(=O)O)C(=O)O,Rh
C=C(CC(=O)OC)C(=O)OC,Rh
CCOC(=O)/C(F)=C/c1ccccc1,Ir
CCOC(=O)/C(F)=C/c1ccccc1,Ir
CC(=O)OC/C(F)=C/c1ccccc1,Ir
CC(=O)OC/C(F)=C/c1ccccc1,Ir
OC/C(F)=C/c1ccccc1,Ir
OC/C(F)=C/c1ccccc1,Ir
CCOC(=O)/C(F)=C(\C)c1ccccc1,Ir
CCOC(=O)/C(F)=C(\C)c1ccccc1,Ir
CCOC(=O)[C@@H](F)[C@@H](C)c1ccccc1,Ir
CCOC(=O)[C@@H](F)[C@@H](C)c1ccccc1,Ir
C/C(=C(\F)CO)c1ccccc1,Ir
C/C(=C(\F)CO)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C(=C\c1ccccc1)c1ccccc1,Ir
C/C=C(\C)c1ccccc1,Ir
C/C=C(\C)c1ccc(OC)cc1,Ir
C/C=C(/C)c1ccc(OC)cc1,Ir
CCOC(=O)C[C@@H](C)c1ccccc1,Ir
C/C(=C\c1ccccc1)CO,Ir
CC(=O)OC/C(C)=C/c1ccccc1,Ir
C=C(CC)c1ccccc1,Ir
C=C(CC)c1ccc(OC)cc1,Ir
C=C(c1ccccc1)C(C)(C)C,Ir
C/C(=C\c1ccccc1)C(=O)O,Ir
C/C(=C\c1ccccc1)C(=O)O,Ir
C/C(=C\c1ccccc1)C(=O)O,Ir
C/C(=C\c1ccccc1)C(=O)O,Ir
C/C(=C\c1ccccc1)C(=O)O,Ir
C/C(=C\c1ccccc1)C(=O)O,Ir
C/C(=C\c1ccccc1)C(=O)O,Ir
C/C(=C\c1ccccc1)C(=O)O,Ir
C/C(=C\c1ccccc1)C(=O)O,Ir
C/C(=C\c1ccccc1)C(=O)O,Ir
C/C(=C\c1ccccc1)C(=O)O,Ir
C/C(=C\c1ccccc1C)C(=O)O,Ir
C/C(=C\c1cccc(C)c1)C(=O)O,Ir
C/C(=C\c1ccc(C)cc1)C(=O)O,Ir
COc1ccccc1/C=C(\C)C(=O)O,Ir
COc1cccc(/C=C(\C)C(=O)O)c1,Ir
COc1ccc(/C=C(\C)C(=O)O)cc1,Ir
C/C(=C\c1ccccc1Cl)C(=O)O,Ir
C/C(=C\c1cccc(Cl)c1)C(=O)O,Ir
C/C(=C\c1ccc(Cl)cc1)C(=O)O,Ir
C/C(=C\c1cccc(Br)c1)C(=O)O,Ir
